Date,Service_Provider
7/1/16 15:40,Uber
7/1/16 15:41,Uber
7/1/16 15:41,Uber
7/1/16 15:44,Uber
7/1/16 15:44,Uber
7/1/16 15:45,Uber
7/1/16 15:45,Uber
7/1/16 15:45,Uber
7/1/16 15:47,Uber
7/1/16 15:48,Lyft
7/1/16 15:49,Uber
7/1/16 15:50,Uber
7/1/16 15:50,Lyft
7/1/16 15:51,Uber
7/1/16 15:53,Uber
7/1/16 15:54,Lyft
7/1/16 15:55,Uber
7/1/16 15:55,Uber
7/1/16 15:55,Uber
7/1/16 15:57,Uber
7/1/16 15:58,Uber
7/1/16 15:58,Uber
7/1/16 15:58,Uber
7/1/16 15:59,Lyft
7/1/16 16:00,Uber
7/1/16 16:02,Uber
7/1/16 16:02,Uber
7/1/16 16:02,Uber
7/1/16 16:02,Lyft
7/1/16 16:02,Uber
7/1/16 16:03,Lyft
7/1/16 16:05,Uber
7/1/16 16:06,Uber
7/1/16 16:08,Uber
7/1/16 16:09,Uber
7/1/16 16:09,Uber
7/1/16 16:10,Uber
7/1/16 16:13,Uber
7/1/16 16:15,Lyft
7/1/16 16:15,Uber
7/1/16 16:17,Uber
7/1/16 16:17,Uber
7/1/16 16:17,Lyft
7/1/16 16:17,Uber
7/1/16 16:17,Uber
7/1/16 16:19,Lyft
7/1/16 16:22,Uber
7/1/16 16:23,Uber
7/1/16 16:23,Uber
7/1/16 16:24,Uber
7/1/16 16:24,Uber
7/1/16 16:25,Uber
7/1/16 16:26,Uber
7/1/16 16:27,Uber
7/1/16 16:29,Uber
7/1/16 16:33,Uber
7/1/16 16:35,Uber
7/1/16 16:38,Uber
7/1/16 16:39,Uber
7/1/16 16:42,Uber
7/1/16 16:43,Uber
7/1/16 16:44,Lyft
7/1/16 16:46,Uber
7/1/16 16:46,Uber
7/1/16 16:47,Uber
7/1/16 16:47,Uber
7/1/16 16:50,Uber
7/1/16 16:52,Uber
7/1/16 16:52,Uber
7/1/16 16:54,Uber
7/1/16 17:01,Uber
7/1/16 17:02,Uber
7/1/16 17:07,Uber
7/1/16 17:08,Uber
7/1/16 17:13,Uber
7/1/16 17:17,Uber
7/1/16 17:18,Uber
7/1/16 17:21,Uber
7/1/16 17:21,Lyft
7/1/16 17:22,Uber
7/1/16 17:24,Uber
7/1/16 17:27,Lyft
7/1/16 17:28,Uber
7/1/16 17:31,Uber
7/1/16 17:31,Lyft
7/1/16 17:32,Uber
7/1/16 17:34,Uber
7/1/16 17:35,Uber
7/1/16 17:36,Lyft
7/1/16 17:41,Lyft
7/1/16 17:44,Uber
7/1/16 17:50,Uber
7/1/16 17:50,Lyft
7/1/16 17:50,Uber
7/1/16 17:50,Uber
7/1/16 17:51,Uber
7/1/16 17:51,Uber
7/1/16 17:52,Uber
7/1/16 17:57,Lyft
7/1/16 17:58,Uber
7/1/16 17:58,Uber
7/1/16 17:59,Uber
7/1/16 17:59,Uber
7/1/16 18:00,Uber
7/1/16 18:00,Uber
7/1/16 18:01,Uber
7/1/16 18:03,Uber
7/1/16 18:03,Uber
7/1/16 18:03,Uber
7/1/16 18:04,Lyft
7/1/16 18:05,Uber
7/1/16 18:07,Uber
7/1/16 18:07,Uber
7/1/16 18:07,Uber
7/1/16 18:08,Uber
7/1/16 18:09,Lyft
7/1/16 18:09,Uber
7/1/16 18:10,Uber
7/1/16 18:11,Uber
7/1/16 18:11,Uber
7/1/16 18:11,Lyft
7/1/16 18:12,Uber
7/1/16 18:12,Lyft
7/1/16 18:14,Uber
7/1/16 18:14,Uber
7/1/16 18:14,Uber
7/1/16 18:14,Uber
7/1/16 18:15,Uber
7/1/16 18:15,Uber
7/1/16 18:16,Uber
7/1/16 18:16,Uber
7/1/16 18:17,Lyft
7/1/16 18:17,Uber
7/1/16 18:17,Lyft
7/1/16 18:18,Uber
7/1/16 18:18,Uber
7/1/16 18:18,Uber
7/1/16 18:19,Lyft
7/1/16 18:19,Lyft
7/1/16 18:20,Uber
7/1/16 18:20,Uber
7/1/16 18:20,Uber
7/1/16 18:22,Uber
7/1/16 18:22,Uber
7/1/16 18:23,Uber
7/1/16 18:23,Uber
7/1/16 18:24,Uber
7/1/16 18:24,Uber
7/1/16 18:25,Uber
7/1/16 18:25,Uber
7/1/16 18:26,Uber
7/1/16 18:27,Uber
7/1/16 18:30,Uber
7/1/16 18:34,Uber
7/1/16 18:34,Uber
7/1/16 18:35,Uber
7/1/16 18:35,Uber
7/1/16 18:35,Lyft
7/1/16 18:36,Uber
7/1/16 18:37,Uber
7/1/16 18:37,Uber
7/1/16 18:37,Uber
7/1/16 18:37,Uber
7/1/16 18:38,Uber
7/1/16 18:38,Uber
7/1/16 18:39,Lyft
7/1/16 18:39,Uber
7/1/16 18:40,Uber
7/1/16 18:42,Uber
7/1/16 18:44,Lyft
7/1/16 18:44,Lyft
7/1/16 18:45,Uber
7/1/16 18:46,Uber
7/1/16 18:46,Uber
7/1/16 18:47,Uber
7/1/16 18:48,Uber
7/1/16 18:48,Uber
7/1/16 18:49,Uber
7/1/16 18:49,Uber
7/1/16 18:50,Uber
7/1/16 18:50,Uber
7/1/16 18:51,Uber
7/1/16 18:51,Uber
7/1/16 18:52,Lyft
7/1/16 18:52,Uber
7/1/16 18:52,Uber
7/1/16 18:52,Uber
7/1/16 18:52,Uber
7/1/16 18:53,Uber
7/1/16 18:53,Lyft
7/1/16 18:53,Uber
7/1/16 18:54,Uber
7/1/16 18:54,Uber
7/1/16 18:54,Uber
7/1/16 18:54,Uber
7/1/16 18:54,Lyft
7/1/16 18:55,Uber
7/1/16 18:57,Uber
7/1/16 18:58,Uber
7/1/16 18:58,Lyft
7/1/16 18:59,Uber
7/1/16 18:59,Lyft
7/1/16 18:59,Lyft
7/1/16 19:02,Uber
7/1/16 19:02,Uber
7/1/16 19:04,Uber
7/1/16 19:04,Uber
7/1/16 19:05,Uber
7/1/16 19:06,Uber
7/1/16 19:06,Uber
7/1/16 19:06,Uber
7/1/16 19:07,Uber
7/1/16 19:08,Uber
7/1/16 19:08,Lyft
7/1/16 19:09,Uber
7/1/16 19:10,Uber
7/1/16 19:10,Uber
7/1/16 19:14,Uber
7/1/16 19:14,Uber
7/1/16 19:14,Uber
7/1/16 19:15,Uber
7/1/16 19:15,Lyft
7/1/16 19:16,Uber
7/1/16 19:16,Uber
7/1/16 19:17,Uber
7/1/16 19:18,Uber
7/1/16 19:19,Uber
7/1/16 19:19,Uber
7/1/16 19:20,Uber
7/1/16 19:20,Uber
7/1/16 19:21,Uber
7/1/16 19:22,Uber
7/1/16 19:24,Uber
7/1/16 19:24,Uber
7/1/16 19:24,Uber
7/1/16 19:27,Uber
7/1/16 19:27,Uber
7/1/16 19:28,Uber
7/1/16 19:28,Uber
7/1/16 19:28,Uber
7/1/16 19:29,Uber
7/1/16 19:29,Uber
7/1/16 19:30,Uber
7/1/16 19:33,Uber
7/1/16 19:34,Lyft
7/1/16 19:34,Lyft
7/1/16 19:34,Uber
7/1/16 19:35,Uber
7/1/16 19:35,Uber
7/1/16 19:36,Uber
7/1/16 19:37,Uber
7/1/16 19:38,Uber
7/1/16 19:40,Uber
7/1/16 19:41,Uber
7/1/16 19:43,Uber
7/1/16 19:44,Uber
7/1/16 19:44,Uber
7/1/16 19:46,Uber
7/1/16 19:46,Uber
7/1/16 19:46,Uber
7/1/16 19:47,Uber
7/1/16 19:47,Uber
7/1/16 19:48,Uber
7/1/16 19:48,Uber
7/1/16 19:48,Uber
7/1/16 19:49,Uber
7/1/16 19:49,Uber
7/1/16 19:51,Uber
7/1/16 19:51,Uber
7/1/16 19:51,Uber
7/1/16 19:52,Uber
7/1/16 19:53,Lyft
7/1/16 19:53,Uber
7/1/16 19:53,Uber
7/1/16 19:54,Uber
7/1/16 19:54,Uber
7/1/16 19:54,Uber
7/1/16 19:55,Uber
7/1/16 19:55,Lyft
7/1/16 19:55,Uber
7/1/16 19:56,Uber
7/1/16 19:56,Uber
7/1/16 19:57,Uber
7/1/16 19:57,Uber
7/1/16 19:59,Lyft
7/1/16 19:59,Lyft
7/1/16 20:00,Uber
7/1/16 20:01,Uber
7/1/16 20:01,Uber
7/1/16 20:02,Uber
7/1/16 20:02,Uber
7/1/16 20:03,Uber
7/1/16 20:04,Uber
7/1/16 20:04,Uber
7/1/16 20:04,Lyft
7/1/16 20:04,Uber
7/1/16 20:05,Uber
7/1/16 20:06,Uber
7/1/16 20:06,Lyft
7/1/16 20:06,Uber
7/1/16 20:07,Lyft
7/1/16 20:08,Uber
7/1/16 20:08,Uber
7/1/16 20:09,Uber
7/1/16 20:09,Uber
7/1/16 20:10,Uber
7/1/16 20:10,Uber
7/1/16 20:10,Uber
7/1/16 20:10,Uber
7/1/16 20:10,Uber
7/1/16 20:12,Uber
7/1/16 20:12,Uber
7/1/16 20:12,Uber
7/1/16 20:13,Uber
