Date,Service_Provider
12/1/16 12:11 PM,Uber
12/1/16 12:12 PM,Lyft
12/1/16 12:13 PM,Uber
12/1/16 12:13 PM,Uber
12/1/16 12:14 PM,Lyft
12/1/16 12:15 PM,Uber
12/1/16 12:16 PM,Lyft
12/1/16 12:16 PM,Uber
12/1/16 12:18 PM,Uber
12/1/16 12:18 PM,Lyft
12/1/16 12:19 PM,Uber
12/1/16 12:20 PM,Uber
12/1/16 12:20 PM,Lyft
12/1/16 12:20 PM,Uber
12/1/16 12:20 PM,Lyft
12/1/16 12:22 PM,Lyft
12/1/16 12:22 PM,Lyft
12/1/16 12:22 PM,Uber
12/1/16 12:22 PM,Uber
12/1/16 12:23 PM,Uber
12/1/16 12:23 PM,Lyft
12/1/16 12:24 PM,Uber
12/1/16 12:25 PM,Uber
12/1/16 12:25 PM,Uber
12/1/16 12:26 PM,Uber
12/1/16 12:26 PM,Lyft
12/1/16 12:27 PM,Lyft
12/1/16 12:27 PM,Uber
12/1/16 12:28 PM,Uber
12/1/16 12:28 PM,Uber
12/1/16 12:29 PM,Lyft
12/1/16 12:30 PM,Lyft
12/1/16 12:30 PM,Lyft
12/1/16 12:31 PM,Lyft
12/1/16 12:31 PM,Uber
12/1/16 12:31 PM,Uber
12/1/16 12:32 PM,Uber
12/1/16 12:32 PM,Uber
12/1/16 12:32 PM,Uber
12/1/16 12:32 PM,Lyft
12/1/16 12:33 PM,Lyft
12/1/16 12:33 PM,Lyft
12/1/16 12:33 PM,Uber
12/1/16 12:34 PM,Lyft
12/1/16 12:35 PM,Uber
12/1/16 12:35 PM,Uber
12/1/16 12:35 PM,Lyft
12/1/16 12:36 PM,Lyft
12/1/16 12:36 PM,Uber
12/1/16 12:36 PM,Lyft
12/1/16 12:37 PM,Uber
12/1/16 12:37 PM,Uber
12/1/16 12:37 PM,Uber
12/1/16 12:38 PM,Uber
12/1/16 12:39 PM,Uber
12/1/16 12:39 PM,Uber
12/1/16 12:39 PM,Uber
12/1/16 12:40 PM,Uber
12/1/16 12:41 PM,Uber
12/1/16 12:41 PM,Uber
12/1/16 12:41 PM,Uber
12/1/16 12:41 PM,Uber
12/1/16 12:41 PM,Uber
12/1/16 12:43 PM,Uber
12/1/16 12:43 PM,Uber
12/1/16 12:43 PM,Uber
12/1/16 12:44 PM,Uber
12/1/16 12:44 PM,Uber
12/1/16 12:44 PM,Uber
12/1/16 12:44 PM,Uber
12/1/16 12:45 PM,Uber
12/1/16 12:45 PM,Uber
12/1/16 12:46 PM,Uber
12/1/16 12:46 PM,Uber
12/1/16 12:46 PM,Uber
12/1/16 12:48 PM,Uber
12/1/16 12:48 PM,Uber
12/1/16 12:48 PM,Uber
12/1/16 12:48 PM,Uber
12/1/16 12:49 PM,Uber
12/1/16 12:49 PM,Uber
12/1/16 12:49 PM,Uber
12/1/16 12:50 PM,Uber
12/1/16 12:51 PM,Uber
12/1/16 12:52 PM,Uber
12/1/16 12:52 PM,Lyft
12/1/16 12:52 PM,Uber
12/1/16 12:53 PM,Lyft
12/1/16 12:53 PM,Uber
12/1/16 12:54 PM,Uber
12/1/16 12:54 PM,Uber
12/1/16 12:54 PM,Uber
12/1/16 12:55 PM,Uber
12/1/16 12:55 PM,Uber
12/1/16 12:56 PM,Lyft
12/1/16 12:56 PM,Uber
12/1/16 12:56 PM,Uber
12/1/16 12:57 PM,Lyft
12/1/16 12:57 PM,Uber
12/1/16 12:57 PM,Lyft
12/1/16 12:57 PM,Uber
12/1/16 12:57 PM,Uber
12/1/16 12:58 PM,Uber
12/1/16 12:58 PM,Uber
12/1/16 12:59 PM,Uber
12/1/16 1:00 PM,Uber
12/1/16 1:00 PM,Uber
12/1/16 1:00 PM,Uber
